id	label_of_act	description	evidence_in_source	evidence_in_tgt
47	negative		 a less costly and less nursing-intensive therapy than 3 days of IV insulin postoperatively 	To describe a novel method of safe and effective intensive management of inpatient hyperglycemia with use of cost-effective protocols directed by a glucose management service -LRB- GMS -RRB- . An intravenous insulin protocol was designed to achieve a glycemic target of 80 to 110 mg/dL . When stable inpatients were transferred from the intravenous protocol to a subcutaneous insulin protocol , which consisted of basal long-acting and prandial and supplemental rapid-acting insulins , the blood glucose target was 80 to 150 mg/dL . Glucose levels were reviewed by the GMS at least daily for protocol adjustments , when necessary . The intravenous insulin protocol was used in 276 patients , and 4,058 capillary blood glucose levels were recorded . Glycemic target levels -LRB- 80 to 110 mg/dL -RRB- were achieved , on average , 10.6 + / - 5.2 hours after initiation of insulin drip therapy . The mean capillary blood glucose level during the study interval was 135.3 + / - 49.9 mg/dL . Hypoglycemia -LRB- < or = 60 mg/dL -RRB- was recorded in 1.5 % of glucose values , and hyperglycemia -LRB- > or = 400 mg/dL -RRB- was recorded in only 0.06 % . The subcutaneous insulin protocol was used in 922 patients , and 18,067 capillary glucose levels were documented . The mean blood glucose level was 145.6 + / - 55.8 mg/dL during the study period . The blood glucose target of 80 to 150 mg/dL was achieved in 58.6 % , whereas 74.3 % of glycemic values were in the clinically acceptable range -LRB- 80 to 180 mg/dL -RRB- . Hypoglycemia -LRB- < or = 60 mg/dL -RRB- occurred in 1.3 % of capillary blood glucose values , and hyperglycemia -LRB- > or = 400 mg/dL -RRB- occurred in 0.4 % of values . Validated protocols dedicated to the achievement of strict glycemic goals were implemented by a GMS and resulted in substantial improvements in glycemic control on the surgical inpatient services , with a reduced frequency of hypoglycemia . The protocols and the GMS have been well received by the inpatient nursing and surgical staff members , and all of this has been done in a cost-effective manner . To determine if glucose management in postcardiothoracic surgery patients with a combined intravenous -LRB- IV -RRB- and subcutaneous -LRB- SC -RRB- insulin regimen reduces mortality and morbidity in patients with diabetes and stress-induced hyperglycemia . Retrospective review of 614 consecutive patients who underwent cardiothoracic -LRB- CT -RRB- surgery in 2005 was performed to evaluate the incidence and treatment of postoperative hyperglycemia and operative morbidity and mortality . Hyperglycemic patients -LRB- glucose > 6.05 mmol/l -RRB- were treated with IV insulin in the intensive care unit -LRB- ICU -RRB- followed by SC insulin -LRB- outside ICU -RRB- . Subgroup analysis was performed on 159 coronary artery bypass grafting -LRB- CABG -RRB- - only patients . Among all CT surgeries , patients with a preoperative diagnosis of diabetes had higher rates of postoperative mortality -LRB- 7.3 vs. 3.3 % ; P = 0.03 -RRB- and pulmonary complications -LRB- 19.5 vs. 11.6 % ; P = 0.02 -RRB- but had similar rates of infections and cardiac , renal , and neurological complications on univariate analysis . However , on multivariate analysis , a preoperative diagnosis of diabetes was not a significant factor in postoperative mortality or pulmonary complications . In CABG-only patients , no significant differences were seen in outcomes between diabetic and nondiabetic patients . Independent of diabetic status , glucose > or = 11 mmol/l on ICU admission was predictive of higher rates of mortality and renal , pulmonary , and cardiac postoperative complications . A combination of IV insulin -LRB- in the ICU -RRB- and SC insulin -LRB- outside the ICU -RRB- , a less costly and less nursing-intensive therapy than 3 days of IV insulin postoperatively , results in a reduction of the increased surgical morbidity and mortality in diabetic patients after CT surgery . We sought to study the optimal management of hyperglycemia in non-intensive care unit patients with type 2 diabetes , as few studies thus far have focused on the subject . We conducted a prospective , multicenter , randomized trial to compare the efficacy and safety of a basal-bolus insulin regimen with that of sliding-scale regular insulin -LRB- SSI -RRB- in patients with type 2 diabetes . A total of 130 insulin-naive patients were randomized to receive glargine and glulisine -LRB- n = 65 -RRB- or a standard SSI protocol -LRB- n = 65 -RRB- . Glargine was given once daily and glulisine before meals at a starting dose of 0.4 units x kg -LRB- -1 -RRB- x day -LRB- -1 -RRB- for blood glucose 140-200 mg/dl or 0.5 units x kg -LRB- -1 -RRB- x day -LRB- -1 -RRB- for blood glucose 201-400 mg/dl . SSI was given four times per day for blood glucose > 140 mg/dl . The mean admission blood glucose was 229 + / - 6 mg/dl and A1C 8.8 + / - 2 % . A blood glucose target of < 140 mg/dl was achieved in 66 % of patients in the glargine and glulisine group and in 38 % of those in the SSI group . The mean daily blood glucose between groups ranged from 23 to 58 mg/dl , with an overall blood glucose difference of 27 mg/dl -LRB- P < 0.01 -RRB- . Despite increasing insulin doses , 14 % of patients treated with SSI remained with blood glucose > 240 mg/dl . There were no differences in the rate of hypoglycemia or length of hospital stay . Treatment with insulin glargine and glulisine resulted in significant improvement in glycemic control compared with that achieved with the use of SSI alone . Our study indicates that a basal-bolus insulin regimen is preferred over SSI in the management of non-critically ill , hospitalized patients with type 2 diabetes . Studies comparing the use of basal bolus with insulin analogs vs. split-mixed regimens with human insulins in hospitalized patients with type 2 diabetes are lacking . In a controlled multicenter trial , we randomized 130 nonsurgical patients with blood glucose -LRB- BG -RRB- between 140 and 400 mg/dl to receive detemir once daily and aspart before meals -LRB- n = 67 -RRB- or neutral protamine Hagedorn -LRB- NPH -RRB- and regular insulin twice daily -LRB- n = 63 -RRB- . Insulin dose was started at 0.4 U/kg . d for BG between 140 and 200 mg/dl or 0.5 U/kg . d for BG 201-400 mg/dl . Major study outcomes included differences in mean daily BG levels and frequency of hypoglycemic events between treatment groups . A BG target below 140 mg/dl before meals was achieved in 45 % of patients in the detemir/aspart group and 48 % in the NPH/regular group -LRB- P = 0.86 -RRB- . During treatment , 22 patients -LRB- 32.8 % -RRB- in the detemir/aspart group and 16 patients -LRB- 25.4 % -RRB- in the NPH/regular group had at least one episode of hypoglycemia -LRB- BG < 60 mg/dl -RRB- during the hospital stay -LRB- P = 0.34 -RRB- . Treatment with basal/bolus regimen with detemir once daily and aspart before meals results in equivalent glycemic control and no differences in the frequency of hypoglycemia compared to a split-mixed regimen of NPH and regular insulin in patients with type 2 diabetes . We examined the impact of an aspart insulin protocol for treatment of hyperglycemia in the emergency department -LRB- ED -RRB- coupled with rapid initiation of a detemir-aspart insulin protocol for patients admitted to the hospital . ED patients with type 2 diabetes mellitus and a blood glucose -LRB- BG -RRB- ≥ 200 mg/dL were randomized to intervention -LRB- INT -RRB- or usual care -LRB- UC -RRB- . INT patients -LRB- n = 87 -RRB- received aspart every 2 hours when BG > 200 mg/dL , and if admitted , began daily detemir in the ED . UC patients -LRB- n = 89 -RRB- were treated per hospital physicians . The initial ED BG was 304 ± 76 mg/dL . The final ED BG differed : 217 ± 71 mg/dL for INT patients versus 257 ± 89 mg/dL for UC patients -LRB- P < .01 -RRB- . No INT patients and 3 UC patients had a BG < 50 mg/dL -LRB- P = .5 -RRB- . ED length of stay -LRB- LOS -RRB- was similar : 5.4 ± 1.8 hours for INT patients versus 4.9 ± 1.9 hours for UC patients -LRB- P = .06 -RRB- . Sixty-nine percent from each group were admitted . Admission BG was 184 ± 74 mg/dL for INT patients versus 224 ± 93 mg/dL for UC patients -LRB- P < .01 -RRB- . Patient-day weighted mean glucose was 163 ± 39 mg/dL for INT patients versus 202 ± 39 mg/dL for UC patients -LRB- P < .01 -RRB- . One INT patient and 6 UC patients had a BG < 50 mg/dL -LRB- P = .11 -RRB- . Hospital LOS was similar : 2.7 ± 2.0 versus 3.1 ± 1.9 days , respectively -LRB- P = .58 -RRB- . An aspart insulin protocol safely lowers BG levels in the ED without prolonging LOS . During hospitalization , a detemir-aspart protocol achieves significantly better glycemic control compared with guideline-driven use of NPH-aspart or glargine/detemir-aspart -LRB- usual care -RRB- without increasing hypoglycemia . Standardization of insulin protocols in the ED and hospital settings leads to improvement in overall glycemic control with greater safety and efficacy than usual care . The effect of intensive therapy to achieve tight glycemic control in patients hospitalized in non-critical care settings is unclear . We conducted a systematic review and meta-analysis to determine the effect of intensive glycemic control strategies on the outcomes of death , stroke , myocardial infarction , incidence of infection , and hypoglycemia . We included randomized and observational studies . Bibliographic databases were searched through February 2010 . Random effects model was used to pool results across studies . Nineteen studies -LRB- nine randomized and 10 observational studies -RRB- were included . The risk of bias across studies was moderate . Meta-analysis demonstrates that intensive glycemic control was not associated with significant effect on the risk of death , myocardial infarction , or stroke . There was a trend for increased risk of hypoglycemia -LRB- relative risk , 1.58 ; 95 % confidence interval , 0.97-2.57 -RRB- , particularly in surgical studies and when the planned glycemic target was achieved . Intensive glycemic control was associated with decreased risk of infection -LRB- relative risk , 0.41 ; 95 % confidence interval , 0.21-0.77 -RRB- that was mainly derived from studies in surgical settings . Intensive control of hyperglycemia in patients hospitalized in non-critical care settings may reduce the risk of infection . The quality of evidence is low and mainly driven by studies in surgical settings . We analyzed 137 episodes of hypoglycemia -LRB- serum glucose less than or equal to 49 mg per deciliter -RRB- occurring in 94 adult patients hospitalized during a six-month period at a tertiary care hospital . Forty-five percent of the patients had diabetes mellitus , and administered insulin was implicated in 90 percent of episodes in diabetics . Hypoglycemia in diabetic patients occurred under a variety of circumstances , frequently because of decreased caloric intake related to illness or hospital routine . Insulin-induced hypoglycemia also occurred during treatment of hyperkalemia -LRB- eight patients -RRB- or during hyperglycemia related to total parenteral nutrition -LRB- six patients -RRB- . Forty-six of the 94 patients had chronic renal insufficiency , and 20 of these 46 had underlying diabetes mellitus . Thus , renal insufficiency unrelated to diabetes mellitus was the second most frequent diagnosis associated with hypoglycemia . The majority of other cases of hypoglycemia were related to liver disease , infections , shock , pregnancy , neoplasia , or burns . Hypoglycemia was not the apparent cause of death in any patient , but the overall hospital mortality was 27 percent and was related to the degree of hypoglycemia and the number of risk factors for hypoglycemia . We conclude that hypoglycemia is a common problem in hospitalized patients , is common in renal insufficiency , is usually iatrogenic , and correlates with high mortality in severely ill patients . Hypoglycemia during hospitalization occurs in patients with and without diabetes . The aims of this study were to determine the incidence , associated risk factors , and short - and long-term outcome of hypoglycemia among hospitalized elderly patients . This is a case-control study conducted at geriatric and medicine departments . All patients 70 years or older with documented hypoglycemia hospitalized within 1 year -LRB- n = 281 -RRB- were compared with a nonhypoglycemic group of 281 elderly , randomly selected patients from the same hospitalized population . Among 5404 patients 70 years or older , 281 -LRB- 5.2 % -RRB- had documented hypoglycemia . Compared with the nonhypoglycemic group , we found the following characteristics to be true in the hypoglycemic group : there were more women than men -LRB- 58 % vs 44 % , P = .001 -RRB- ; sepsis was 10 times more common -LRB- P < .001 -RRB- ; malignancy was 2.8 times more common -LRB- P = .04 -RRB- ; the mean serum albumin level was lower -LRB- 2.8 g/dL vs 3.4 g/dL , P < .001 -RRB- ; and the mean serum creatinine and alkaline phosphatase levels were higher -LRB- P < .001 for both -RRB- . Diabetes was known in 42 % of the hypoglycemic group and in 31 % of the nonhypoglycemic group -LRB- P = .03 -RRB- ; 70 patients in the hypoglycemic group were taking sulfonylureas or insulin . Multivariate logistic analysis showed that sepsis , albumin level , malignancy , sulfonyurea and insulin treatment , alkaline phosphatase level , female sex , and creatinine level were all independent predictors of developing hypoglycemia . Multivariate analysis of mortality found that sepsis , low albumin level , and malignancy were independent predictors , while hypoglycmia was not . Hypoglycemia was common in elderly hospitalized patients and predicted increased in-hospital 3 - and 6-month cumulative mortality . However , in a multivariate analysis , hypoglycemia was not an independent predictor for mortality , implying that it is only a marker . To determine the incidence and manifestations of hypoglycemia in hospitalized patients receiving antihyperglycemic therapy . The study was a 3-month prospective review of consecutive medical records of all adult , nonpregnant hospitalized patients at a 675-bed university hospital who experienced at least 1 blood glucose -LRB- BG -RRB- < or = 60 mg/dL within 48 hours of receiving an antihyperglycemic agent . Of 2174 patients receiving antihyperglycemic agents , 206 -LRB- 9.5 % -RRB- experienced 484 hypoglycemic episodes . Of these episodes , 29 % occurred in patients with type 1 diabetes , 23 % in the ICU , and 72 % in patients receiving only insulin for hyperglycemia . More than 1 episode was experienced by 44 % of the 206 patients . Furthermore , 4 % -LRB- 20 of 484 -RRB- of the hypoglycemic episodes were associated with a hypoglycemia-related adverse event , defined as symptoms , signs , or injury . The mean BG of these episodes was 43.0 mg/dL , significantly lower than the mean BG of 50.9 mg/dL for the 464 episodes without adverse events -LRB- P = .01 -RRB- . One-third of the adverse events occurred with a BG between 50 and 60 mg/dL ; half the adverse events , 10 episodes or 2 % of all hypoglycemic episodes , were serious , involving seizures or an unresponsive patient . A decrease in enteral intake accounted for 40 % of the episodes ; none was attributed to medication error . Less than half the hypoglycemic patients had documented euglycemia within 2 hours . Sulfonylurea agents were associated with higher rates of hypoglycemia than were other oral agents . Hypoglycemia in hospitalized patients taking antihyperglycemic agents is common ; 1 in 25 episodes is associated with an adverse event . Opportunities exist to improve care , particularly around discontinuation of feeding . Hypoglycemia is often cited as a barrier to achieving inpatient glycemic targets . We sought to characterize hypoglycemic events in our institution by work-shift cycle and by specific treatment area . Capillary -LRB- bedside -RRB- and blood -LRB- laboratory -RRB- glucose values of < 70 mg/dl for patients with either a known diagnosis of diabetes or with evidence of hyperglycemia were abstracted from our laboratory database for hospitalizations between October 1 , 2007 , and February 3 , 2008 . Hypoglycemic events were analyzed by 12 h nursing work-shift cycles -LRB- day shift , 07:00 to 18:59 ; night shift , 19:00 to 06:59 -RRB- and by the six medical , surgical , and intensive care areas in the hospital -LRB- designated areas 1 to 6 -RRB- . We identified 206 individual patients with either diabetes or hyperglycemia -LRB- mean age , 67 years ; 56 % men ; 83 % white -RRB- who had 423 hypoglycemic events . There were 78 % more hypoglycemic events during the night shift -LRB- n = 271 events in 128 individual patients -RRB- than during the day shift -LRB- n = 152 events in 96 individual patients -RRB- . Most of the night-shift hypoglycemic measurements were detected between 04:00 and 04:59 or 06:00 and 06:59 . The mean hypoglycemic level was comparable between shifts -LRB- p = .79 -RRB- and across the six inpatient areas . The number of hypoglycemic events per person increased with lengths of hospital stay > 5 days . The prevalence of hypoglycemia varied across patient care areas within the hospital , with most -LRB- 28 % -RRB- detected in one area of the hospital . There are temporal and geographic patterns in the occurrence of hypoglycemia among patients with diabetes or hyperglycemia in our hospital . Further study should focus on the reasons underlying these variations so that specific interventions can address the risk of hypoglycemia during peak times and places . This study set out to determine the incidence of hypoglycemia in patients with chronic kidney disease -LRB- CKD -RRB- , with and without diabetes , and the association of hypoglycemia with mortality . This was a retrospective cohort analysis of 243,222 patients who had 2,040,206 glucose measurements and were cared for at the Veterans Health Administration . CKD was defined as an estimated GFR of < 60 ml/min per 1.73 m -LRB- 2 -RRB- . Hypoglycemia was set at < 70 mg/dl . Mortality was measured 1 day after glucose measurement . The incidence of hypoglycemia was higher in patients with CKD versus without CKD . Among patients with diabetes , the rate was 10.72 versus 5.33 per 100 patient-months and among patients without diabetes was 3.46 versus 2.23 per 100 patient-months , for CKD versus no CKD , respectively . The odds of 1-d mortality were increased at all levels of hypoglycemia but attenuated in CKD versus no CKD . Adjusted odds ratios for 1-d mortality that were associated with glucose values of < 50 , 50 to 59 , and 60 to 69 mg/dl , respectively , versus glucose of > or = 70 mg/dl were 6.09 , 4.10 , and 1.85 for inpatient records from patients with CKD ; 9.95 , 3.79 , and 2.54 for inpatients records from patients without CKD ; 6.84 , 3.28 , and 3.98 for outpatient records from patients with CKD ; and 13.28 , 7.36 , and 4.34 for outpatient records from patients without CKD . CKD is a risk for hypoglycemia , with or without diabetes . The excessive mortality associated with hypoglycemia makes this complication a significant threat to patient safety in CKD . To quantify pharmacokinetic and pharmacodynamic properties of regular insulin and insulin lispro in type 1 diabetic patients with and without overt diabetic nephropathy . In this double-blind , two-way cross-over , euglycemic -LRB- 5 mmol/l -RRB- glucose clamp study , we investigated the metabolic response to subcutaneous injections of regular insulin and insulin lispro -LRB- 0.2 U/kg -RRB- in 12 type 1 diabetic patients with overt diabetic nephropathy -LRB- proteinuria > 500 mg/24 h and/or serum creatinine > 1.5 mg/dl ; NP group -RRB- and in a control group of 12 type 1 diabetic patients with normal renal function -LRB- DC group -RRB- . Peak plasma free insulin levels with insulin lispro -LRB- 359 -LSB- NP -RSB- vs. 254 pmol/l -LSB- DC -RSB- -RRB- were higher and time to maximal insulin concentrations -LRB- 85 -LSB- NP -RSB- vs. 99 min -LSB- DC -RSB- -RRB- shorter than with regular insulin -LRB- 213 -LSB- NP -RSB- vs. 144 pmol/l -LSB- DC -RSB- ; 118 -LSB- NP -RSB- vs. 153 min -LSB- DC -RSB- -RRB- in both patient groups . Overall insulin levels for regular insulin and for insulin lispro were higher in patients with overt diabetic nephropathy compared with control patients . Time to maximal metabolic effect was shorter with insulin lispro than with regular insulin in both patient groups -LRB- 102 vs. 191 min -LSB- NP -RSB- ; 105 vs. 172 min -LSB- DC -RSB- -RRB- . The overall metabolic effect of regular insulin but not of insulin lispro was lower in patients with diabetic nephropathy than in diabetic control patients -LRB- 967 vs. 1,510 mg/kg , respectively -RRB- . Although insulin levels are higher in patients with overt diabetic nephropathy , the metabolic response to regular insulin is reduced . Insulin lispro maintains its characteristic pharmacokinetic and pharmacodynamic properties in patients with overt diabetic nephropathy . In the presence of impaired renal function , patients require less insulin mainly because insulin clearance is prolonged . The aim of this study was to evaluate the insulin requirement related to glomerular filtration rate -LRB- GFR -RRB- in nephropathic Type 1 and Type 2 diabetic patients . In a retrospective study we compared insulin requirement in 20 nephropathic Type 1 diabetic patients and 20 insulin-treated Type 2 diabetic patients from the onset of overt nephropathy until the final stage of renal disease . All patients had proteinuria > 0.5 g/24 h and creatinine clearance > / = 80 ml/min per 1.73 m2 at baseline . Creatinine clearance , urinary protein excretion , glycated haemoglobin and the required insulin doses were determined 3 - to 6-monthly , basal C-peptide was measured at the beginning and the end of the observation period . The required insulin doses were evaluated at creatinine clearance rates of 80 , 60 , 40 , 20 and 10 ml/min per 1.73 m2 -LRB- or at the initiation of dialysis treatment -RRB- . The insulin requirement of patients with Type 1 diabetes was reduced from 0.72 + / - 0.16 IU/kg per day at a creatinine clearance rate of 80 ml/min , to 0.45 + / - 0.13 IU/kg per day at a creatinine clearance rate of 10 ml/min -LRB- decrement of 38 % , P < 0.001 -RRB- . The insulin dose required by Type 2 diabetic patients was reduced from 0.68 + / - 0.28 IU/kg per day at a creatinine clearance rate of 80 ml/min to 0.33 + / - 0.19 IU/kg per day at a clearance rate of 10 ml/min -LRB- decrement 51 % , P < 0.001 -RRB- . The fall in GFR , urinary protein excretion and glycated haemoglobin levels was similar in the two groups . In patients with Type 2 diabetes , C-peptide levels at the beginning and the end of renal function impairment were 2.2 -LRB- 0.4-7.3 -RRB- vs. 2.7 -LRB- 0.1-4.9 -RRB- ng/ml -LRB- NS -RRB- . The reduction in insulin requirement was approximately the same in patients with an initial C-peptide level < 1.0 and in those > / = 1.0 ng/ml -LRB- decrement 57 % vs. 46 % -RRB- . The reduction in insulin requirement in renal insufficiency is similar in Type 1 and insulin-treated Type 2 diabetic patients . In subjects with Type 2 diabetes , the residual insulin secretion has no impact on the reduction in insulin requirement dependent on the GFR .
48	positive	none		
49	positive	none		
50	positive	none		
51	negative	conflict	no phobic and social anxiety	phobic and social anxiety
52	negative	conflict	topical insulin of 3 concentrations -LSB- 0.5 , 1 , and 2 units per drop 4 times per day	 be 0.5 % of epithelial defect on fluorescein
53	negative	conflict	 0.97 + / -1.28 compared with 3.00 + / -2.41 , P < .001 -RRB- traversing the external cervical os -LRB- 1.46 + / -1.71 compared with 3.77 + / -2.68 , P < .001 -RRB- and internal os -LRB- 1.79 + / -2.11 compared with 4.10 + / -2.77 , P < .001 -RRB- . 	 0.9 + / -1.71 compared with 3.77 + / -2.68 compared with 4.10 + / -2.77 ,
54	positive	none		
55	negative	conflict	0.81 to 9.13 -RRB- in group 2 , 	0.41 to 0.81 -RRB- , respectively .
56	positive	none		
57	positive	none		
58	positive	none		
59	positive	none		
60	positive	none		
61	negative	conflict	16 patients enrolled in 	150 patients enrolled in
62	negative	conflict	at least 10 countries in tropical Africa 	at least 10 and complex datasets 
63	negative	conflict	none	antagonist losartan -LRB- 75 mg -RRB
64	negative	conflict	none	3.4 PU -LSB- 2.3-19.2 PU -RS
65	positive	none		
66	negative	conflict	up to 3 years 	 up to 2 years
67	positive	none		
68	positive	none		
69	positive	none		
70	positive	none		
71	negative	conflict	Twelve male high-level rugby athletes were recruited	12 diodes
72	negative	conflict	20 % of Haitians	20 % of homosexual 
73	negative	conflict	- 1.5 , 3.4 -RSB- vs. 2.6 mmo	1.5 , 3.4 -RSB- -LSB- 1.6
74	negative	conflict	none	0.43 to 0.99 -RRB- 
75	positive	none		
76	positive	none		
77	positive	none		
78	negative	conflict	none	 At 16 h were able to have a increase
79	positive	none		
80	positive	none		
81	negative	none	mean difference = 0.43 	
82	positive	none		
83	positive	none		
84	positive	none		
85	negative	conflict	 up to 32 h following termination of the infusion	18 to 96 hours
86	negative	conflict	15 international field centers 	15 sample of repercussions of incapacities
87	positive	none		
88	positive	none		
89	negative	conflict	none	 At 35 months , patients who are more likely 
90	negative	conflict	23.1 % were current smokers	23.1 % were diabetes .
91	positive	none		
92	positive	none		
93	negative	conflict	9 and 43 % in pancreas -	 43 % in the potential of the DHA
94	positive	none		
95	negative	conflict	none	0 · 14 to 4 · 49 -RRB- in those who received ventral mesh
96	positive	none		
97	negative	conflict	At 3 months , groups 1 and 2 still showed significantly greater improvement in SPADI scores than group 4 .	 with the better scores of shoulder flexion in group 3 at 3 months .
98	negative	conflict	none	After 15 minutes , frozen peas produced the lowest mean minute after icing , and skin temperatures remained significantly depressed during the next 4 minutes .
99	positive	none		
100	positive	none		
